<H1>	<H1>	<H1>	タグ		
で	デ	で	助詞-格助詞-一般		
全国	ゼンコク	全国	名詞-一般		
発売	ハツバイ	発売	名詞-サ変接続		
いたし	イタシ	いたす	動詞-非自立	五段・サ行	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
今	イマ	今	名詞-副詞可能		
だけ	ダケ	だけ	助詞-副助詞		
の	ノ	の	助詞-連体化		
こだわり	コダワリ	こだわり	名詞-一般		
ミルク	ミルク	ミルク	名詞-一般		
と	ト	と	助詞-格助詞-一般		
ホイップクリーム	ホイップクリーム	ホイップクリーム	未知語		
で	デ	で	助詞-格助詞-一般		
仕上げ	シアゲ	仕上げる	動詞-自立	一段	連用形
た	タ	た	助動詞	特殊・タ	基本形
高級	コウキュウ	高級	名詞-形容動詞語幹		
感	カン	感	名詞-接尾-一般		
の	ノ	の	助詞-格助詞-一般		
ある	アル	ある	動詞-自立	五段・ラ行	基本形
2	2	2	未知語		
品	ヒン	品	名詞-接尾-一般		
を通じて	ヲツウジテ	を通じて	助詞-格助詞-連語		
、	、	、	記号-読点		
バレンタインデー	バレンタインデー	バレンタインデー	名詞-一般		
の	ノ	の	助詞-連体化		
売場	ウリバ	売場	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
華やか	ハナヤカ	華やか	名詞-形容動詞語幹		
に	ニ	に	助詞-副詞化		
演出	エンシュツ	演出	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
、	、	、	記号-読点		
「	「	「	記号-括弧開		
メルティーキッス	メルティーキッス	メルティーキッス	未知語		
」	」	」	記号-括弧閉		
および	オヨビ	およぶ	動詞-自立	五段・バ行	連用形
「	「	「	記号-括弧開		
ポルテ	ポルテ	ポルテ	未知語		
」	」	」	記号-括弧閉		
ブランド	ブランド	ブランド	名詞-一般		
の	ノ	の	助詞-連体化		
さらなる	サラナル	さらなる	連体詞		
売上	ウリアゲ	売上	名詞-一般		
拡大	カクダイ	拡大	名詞-サ変接続		
を	ヲ	を	助詞-格助詞-一般		
図っ	ハカッ	図る	動詞-自立	五段・ラ行	連用タ接続
て	テ	て	助詞-接続助詞		
まいり	マイリ	まいる	動詞-非自立	五段・ラ行	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
商品	ショウヒン	商品	名詞-一般		
概要	ガイヨウ	概要	名詞-一般		
商品	ショウヒン	商品	名詞-一般		
名	メイ	名	名詞-接尾-一般		
「	「	「	記号-括弧開		
メルティーキッスエクストラミルク	メルティーキッスエクストラミルク	メルティーキッスエクストラミルク	未知語		
」	」	」	記号-括弧閉		
内容	ナイヨウ	内容	名詞-一般		
量	リョウ	量	名詞-接尾-一般		
60g	60g	60g	未知語		
価格	カカク	価格	名詞-一般		
参考	サンコウ	参考	名詞-サ変接続		
小売	コウリ	小売	名詞-サ変接続		
価格	カカク	価格	名詞-一般		
258	258	258	未知語		
円	エン	円	名詞-一般		
（	（	（	記号-括弧開		
税込	ゼイコミ	税込	名詞-一般		
）	）	）	記号-括弧閉		
発売	ハツバイ	発売	名詞-サ変接続		
日	ビ	日	名詞-接尾-一般		
・	・	・	記号-一般		
発売	ハツバイ	発売	名詞-サ変接続		
地区	チク	地区	名詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
11	11	11	未知語		
日	ビ	日	名詞-接尾-一般		
全国	ゼンコク	全国	名詞-一般		
特長	トクチョウ	特長	名詞-一般		
●	●	●	記号-一般		
ミルク	ミルク	ミルク	名詞-一般		
感	カン	感	名詞-接尾-一般		
たっぷり	タップリ	たっぷり	名詞-一般		
の	ノ	の	助詞-連体化		
こだわり	コダワリ	こだわり	名詞-一般		
の	ノ	の	助詞-連体化		
コク	コク	コク	名詞-一般		
豊	ユタカ	豊	名詞-固有名詞-人名-名		
かな	カナ	かな	名詞-一般		
<ホワイトチョコ>	<ホワイトチョコ>	<ホワイトチョコ>	タグ		
を	ヲ	を	助詞-格助詞-一般		
、	、	、	記号-読点		
まろやか	マロヤカ	まろやか	名詞-形容動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
<ミルクチョコ>	<ミルクチョコ>	<ミルクチョコ>	タグ		
で	デ	で	接続詞		
コーティング	コーティング	コーティング	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
、	、	、	記号-読点		
ココア	ココア	ココア	名詞-一般		
パウダー	パウダー	パウダー	名詞-一般		
で	デ	で	助詞-格助詞-一般		
仕上げ	シアゲ	仕上げる	動詞-自立	一段	連用形
まし	マシ	ます	助動詞	特殊・マス	連用形
た	タ	た	助動詞	特殊・タ	基本形
。	。	。	記号-句点		
●	●	●	記号-一般		
雪	ユキ	雪	名詞-一般		
の	ノ	の	助詞-連体化		
よう	ヨウ	よう	名詞-非自立-助動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
口	クチ	口	名詞-一般		
どけ	ドケ	どく	動詞-自立	五段・カ行イ音便	命令ｅ
と	ト	と	助詞-格助詞-引用		
コク	コク	コク	名詞-一般		
深い	フカイ	深い	形容詞-自立	形容詞・アウオ段	基本形
余韻	ヨイン	余韻	名詞-一般		
、	、	、	記号-読点		
濃厚	ノウコウ	濃厚	名詞-形容動詞語幹		
で	デ	だ	助動詞	特殊・ダ	連用形
贅沢	ゼイタク	贅沢	名詞-形容動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
味わい	アジワイ	味わい	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
楽しめる	タノシメル	楽しめる	動詞-自立	一段	基本形
、	、	、	記号-読点		
冬期	トウキ	冬期	名詞-副詞可能		
限定	ゲンテイ	限定	名詞-サ変接続		
の	ノ	の	助詞-連体化		
「	「	「	記号-括弧開		
メルティーキッス	メルティーキッス	メルティーキッス	未知語		
」	」	」	記号-括弧閉		
です	デス	です	助動詞	特殊・デス	基本形
。	。	。	記号-句点		
主要	シュヨウ	主要	名詞-形容動詞語幹		
栄養	エイヨウ	栄養	名詞-一般		
成分	セイブン	成分	名詞-一般		
（	（	（	記号-括弧開		
1	1	1	未知語		
箱	バコ	箱	名詞-接尾-一般		
当たり	アタリ	当たり	名詞-副詞可能		
）	）	）	記号-括弧閉		
エネルギー	エネルギー	エネルギー	名詞-一般		
380kcal	380kcal	380kcal	未知語		
、	、	、	記号-読点		
たんぱく質	タンパクシツ	たんぱく質	名詞-一般		
3.9g	3.9g	3.9g	未知語		
、	、	、	記号-読点		
脂質	シシツ	脂質	名詞-一般		
29.2g	29.2g	29.2g	未知語		
炭水化物	タンスイカブツ	炭水化物	名詞-一般		
25.5g	25.5g	25.5g	未知語		
、	、	、	記号-読点		
ナトリウム	ナトリウム	ナトリウム	名詞-一般		
36mg	36mg	36mg	未知語		
販売	ハンバイ	販売	名詞-サ変接続		
目標	モクヒョウ	目標	名詞-一般		
金額	キンガク	金額	名詞-一般		
60	60	60	未知語		
億	オク	億	名詞-数		
円	エン	円	名詞-接尾-助数詞		
／	／	／	記号-一般		
年間	ネンカン	年間	名詞-一般		
（	（	（	記号-括弧開		
メルティーキッス	メルティーキッス	メルティーキッス	未知語		
群	グン	群	名詞-接尾-一般		
）	）	）	記号-括弧閉		
ターゲット	ターゲット	ターゲット	名詞-一般		
OL	OL	OL	未知語		
、	、	、	記号-読点		
主婦	シュフ	主婦	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
中心	チュウシン	中心	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
幅広く	ハバヒロク	幅広い	形容詞-自立	形容詞・アウオ段	連用テ接続
商品	ショウヒン	商品	名詞-一般		
名	メイ	名	名詞-接尾-一般		
「	「	「	記号-括弧開		
ポルテエクストラホイップ	ポルテエクストラホイップ	ポルテエクストラホイップ	未知語		
」	」	」	記号-括弧閉		
内容	ナイヨウ	内容	名詞-一般		
量	リョウ	量	名詞-接尾-一般		
46g	46g	46g	未知語		
価格	カカク	価格	名詞-一般		
参考	サンコウ	参考	名詞-サ変接続		
小売	コウリ	小売	名詞-サ変接続		
価格	カカク	価格	名詞-一般		
198	198	198	未知語		
円	エン	円	名詞-一般		
（	（	（	記号-括弧開		
税込	ゼイコミ	税込	名詞-一般		
）	）	）	記号-括弧閉		
発売	ハツバイ	発売	名詞-サ変接続		
日	ビ	日	名詞-接尾-一般		
・	・	・	記号-一般		
発売	ハツバイ	発売	名詞-サ変接続		
地区	チク	地区	名詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
25	25	25	未知語		
日	ビ	日	名詞-接尾-一般		
全国	ゼンコク	全国	名詞-一般		
特長	トクチョウ	特長	名詞-一般		
●	●	●	記号-一般		
こだわり	コダワリ	こだわり	名詞-一般		
の	ノ	の	助詞-連体化		
コク	コク	コク	名詞-一般		
豊か	ユタカ	豊か	名詞-形容動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
ホイップクリーム	ホイップクリーム	ホイップクリーム	未知語		
を	ヲ	を	助詞-格助詞-一般		
贅沢	ゼイタク	贅沢	名詞-形容動詞語幹		
に	ニ	に	助詞-副詞化		
ビスケット	ビスケット	ビスケット	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
のせ	ノセ	のせる	動詞-自立	一段	連用形
、	、	、	記号-読点		
口	クチ	口	名詞-一般		
どけ	ドケ	どける	動詞-自立	一段	連用形
の	ノ	の	助詞-連体化		
良い	ヨイ	良い	形容詞-自立	形容詞・アウオ段	基本形
チョコ	チョコ	チョコ	名詞-一般		
と	ト	と	助詞-並立助詞		
ココア	ココア	ココア	名詞-一般		
パウダー	パウダー	パウダー	名詞-一般		
で	デ	で	助詞-格助詞-一般		
仕上げ	シアゲ	仕上げる	動詞-自立	一段	連用形
まし	マシ	ます	助動詞	特殊・マス	連用形
た	タ	た	助動詞	特殊・タ	基本形
。	。	。	記号-句点		
●	●	●	記号-一般		
ホイップクリーム	ホイップクリーム	ホイップクリーム	未知語		
を	ヲ	を	助詞-格助詞-一般		
20%	20%	20%	未知語		
増量	ゾウリョウ	増量	名詞-サ変接続		
（	（	（	記号-括弧開		
従来	ジュウライ	従来	名詞-副詞可能		
比	ヒ	比	名詞-接尾-一般		
）	）	）	記号-括弧閉		
し	シ	する	動詞-自立	サ変・スル	連用形
て	テ	て	助詞-接続助詞		
ビスケット	ビスケット	ビスケット	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
乗せる	ノセル	乗せる	動詞-自立	一段	基本形
こと	コト	こと	名詞-非自立-一般		
で	デ	だ	助動詞	特殊・ダ	連用形
、	、	、	記号-読点		
サクサク	サクサク	サクサク	副詞-一般		
な	ナ	だ	助動詞	特殊・ダ	体言接続
のに	ノニ	のに	助詞-接続助詞		
“	“	“	記号-括弧開		
もっと	モット	もっと	副詞-一般		
”	”	”	記号-括弧閉		
クリーミー	クリーミー	クリーミー	未知語		
な	ナ	だ	助動詞	特殊・ダ	体言接続
味わい	アジワイ	味わい	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
仕上げ	シアゲ	仕上げる	動詞-自立	一段	連用形
まし	マシ	ます	助動詞	特殊・マス	連用形
た	タ	た	助動詞	特殊・タ	基本形
。	。	。	記号-句点		
主要	シュヨウ	主要	名詞-形容動詞語幹		
栄養	エイヨウ	栄養	名詞-一般		
成分	セイブン	成分	名詞-一般		
（	（	（	記号-括弧開		
1	1	1	未知語		
箱	バコ	箱	名詞-接尾-一般		
当たり	アタリ	当たり	名詞-副詞可能		
）	）	）	記号-括弧閉		
エネルギー	エネルギー	エネルギー	名詞-一般		
278kcal	278kcal	278kcal	未知語		
、	、	、	記号-読点		
たんぱく質	タンパクシツ	たんぱく質	名詞-一般		
28g	28g	28g	未知語		
、	、	、	記号-読点		
脂質	シシツ	脂質	名詞-一般		
19.6g	19.6g	19.6g	未知語		
炭水化物	タンスイカブツ	炭水化物	名詞-一般		
22.6g	22.6g	22.6g	未知語		
、	、	、	記号-読点		
ナトリウム	ナトリウム	ナトリウム	名詞-一般		
24mg	24mg	24mg	未知語		
販売	ハンバイ	販売	名詞-サ変接続		
目標	モクヒョウ	目標	名詞-一般		
金額	キンガク	金額	名詞-一般		
10	10	10	未知語		
億	オク	億	名詞-数		
円	エン	円	名詞-接尾-助数詞		
／	／	／	記号-一般		
年間	ネンカン	年間	名詞-一般		
（	（	（	記号-括弧開		
ポルテ	ポルテ	ポルテ	未知語		
群	グン	群	名詞-接尾-一般		
）	）	）	記号-括弧閉		
ターゲット	ターゲット	ターゲット	名詞-一般		
OL	OL	OL	未知語		
、	、	、	記号-読点		
主婦	シュフ	主婦	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
中心	チュウシン	中心	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
幅広く	ハバヒロク	幅広い	形容詞-自立	形容詞・アウオ段	連用テ接続
ご	ゴ	ご	接頭詞-名詞接続		
参考	サンコウ	参考	名詞-サ変接続		
EOS
EOS
EOS
<H3>	<H3>	<H3>	タグ		
2	2	2	未知語		
</H3>	</H3>	</H3>	タグ		
EOS
明治製菓	メイジセイカ	明治製菓	名詞-固有名詞-組織		
株式会社	カブシキガイシャ	株式会社	名詞-一般		
（	（	（	記号-括弧開		
本社	ホンシャ	本社	名詞-一般		
：	：	：	記号-一般		
東京	トウキョウ	東京	名詞-固有名詞-地域-一般		
都	ト	都	名詞-接尾-地域		
社長	シャチョウ	社長	名詞-一般		
：	：	：	記号-一般		
佐藤	サトウ	佐藤	名詞-固有名詞-人名-姓		
尚	ショウ	尚	名詞-固有名詞-人名-名		
忠	チュウ	忠	名詞-一般		
以下	イカ	以下	名詞-非自立-副詞可能		
：	：	：	記号-一般		
明治製菓	メイジセイカ	明治製菓	名詞-固有名詞-組織		
）	）	）	記号-括弧閉		
と	ト	と	助詞-格助詞-引用		
亀田製菓	カメダセイカ	亀田製菓	名詞-固有名詞-組織		
株式会社	カブシキガイシャ	株式会社	名詞-一般		
（	（	（	記号-括弧開		
本社	ホンシャ	本社	名詞-一般		
：	：	：	記号-一般		
新潟	ニイガタ	新潟	名詞-固有名詞-地域-一般		
市	シ	市	名詞-接尾-地域		
社長	シャチョウ	社長	名詞-一般		
：	：	：	記号-一般		
田中	タナカ	田中	名詞-固有名詞-人名-姓		
通泰	ミチヤス	通泰	名詞-固有名詞-人名-名		
以下	イカ	以下	名詞-非自立-副詞可能		
：	：	：	記号-一般		
亀田製菓	カメダセイカ	亀田製菓	名詞-固有名詞-組織		
）	）	）	記号-括弧閉		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
両社	リョウシャ	両社	名詞-一般		
の	ノ	の	助詞-連体化		
コラボレーション	コラボレーション	コラボレーション	名詞-一般		
プロジェクト	プロジェクト	プロジェクト	名詞-一般		
で	デ	だ	助動詞	特殊・ダ	連用形
ある	アル	ある	助動詞	五段・ラ行アル	基本形
「	「	「	記号-括弧開		
cacao-kome	cacao-kome	cacao-kome	未知語		
プロジェクト	プロジェクト	プロジェクト	名詞-一般		
」	」	」	記号-括弧閉		
の	ノ	の	助詞-連体化		
共同	キョウドウ	共同	名詞-サ変接続		
開発	カイハツ	開発	名詞-サ変接続		
商品	ショウヒン	商品	名詞-一般		
第	ダイ	第	接頭詞-名詞接続		
4	4	4	未知語		
弾	ダン	弾	名詞-接尾-一般		
として	トシテ	として	助詞-格助詞-連語		
、	、	、	記号-読点		
「	「	「	記号-括弧開		
明治	メイジ	明治	名詞-固有名詞-一般		
アーモンド	アーモンド	アーモンド	名詞-一般		
柿	カキ	柿	名詞-一般		
の	ノ	の	助詞-連体化		
種	タネ	種	名詞-一般		
クランチ	クランチ	クランチ	名詞-一般		
」	」	」	記号-括弧閉		
を	ヲ	を	助詞-格助詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
18	18	18	未知語		
日	ビ	日	名詞-接尾-一般		
（	（	（	記号-括弧開		
火	ヒ	火	名詞-一般		
）	）	）	記号-括弧閉		
から	カラ	から	助詞-格助詞-一般		
、	、	、	記号-読点		
「	「	「	記号-括弧開		
45g	45g	45g	未知語		
亀田	カメダ	亀田	名詞-固有名詞-人名-姓		
の	ノ	の	助詞-連体化		
柿	カキ	柿	名詞-一般		
の	ノ	の	助詞-連体化		
種	タネ	種	名詞-一般		
チョコ	チョコ	チョコ	名詞-一般		
」	」	」	記号-括弧閉		
（	（	（	記号-括弧開		
以下	イカ	以下	名詞-非自立-副詞可能		
：	：	：	記号-一般		
「	「	「	記号-括弧開		
亀田	カメダ	亀田	名詞-固有名詞-人名-姓		
の	ノ	の	助詞-連体化		
柿	カキ	柿	名詞-一般		
の	ノ	の	助詞-連体化		
種	タネ	種	名詞-一般		
チョコ	チョコ	チョコ	名詞-一般		
」	」	」	記号-括弧閉		
）	）	）	記号-括弧閉		
、	、	、	記号-読点		
を	ヲ	を	助詞-格助詞-一般		
2011	2011	2011	未知語		
年	トシ	年	名詞-一般		
1	1	1	未知語		
月	ツキ	月	名詞-一般		
17	17	17	未知語		
日	ビ	日	名詞-接尾-一般		
（	（	（	記号-括弧開		
月	ツキ	月	名詞-一般		
）	）	）	記号-括弧閉		
から	カラ	から	助詞-格助詞-一般		
、	、	、	記号-読点		
それぞれ	ソレゾレ	それぞれ	名詞-副詞可能		
期間	キカン	期間	名詞-一般		
限定	ゲンテイ	限定	名詞-サ変接続		
※	※	※	記号-一般		
1	1	1	未知語		
で	デ	で	助詞-格助詞-一般		
全国	ゼンコク	全国	名詞-一般		
発売	ハツバイ	発売	名詞-サ変接続		
いたし	イタシ	いたす	動詞-非自立	五段・サ行	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
明治製菓	メイジセイカ	明治製菓	名詞-固有名詞-組織		
から	カラ	から	助詞-格助詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
カリッ	カリッ	カリッ	副詞-助詞類接続		
と	ト	と	助詞-副詞化		
香ばしい	コウバシイ	香ばしい	形容詞-自立	形容詞・イ段	基本形
「	「	「	記号-括弧開		
<アーモンドチョコ>	<アーモンドチョコ>	<アーモンドチョコ>	タグ		
」	」	」	記号-括弧閉		
ブランド	ブランド	ブランド	名詞-一般		
で	デ	で	助詞-格助詞-一般		
甘辛い	アマカライ	甘辛い	形容詞-自立	形容詞・アウオ段	基本形
新	シン	新	接頭詞-名詞接続		
食	ショク	食	名詞-一般		
感	カン	感	名詞-接尾-一般		
の	ノ	の	名詞-非自立-一般		
<アーモンドチョコ>	<アーモンドチョコ>	<アーモンドチョコ>	タグ		
を	ヲ	を	助詞-格助詞-一般		
提案	テイアン	提案	名詞-サ変接続		
、	、	、	記号-読点		
亀田製菓	カメダセイカ	亀田製菓	名詞-固有名詞-組織		
から	カラ	から	助詞-格助詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
ちょい	チョイ	ちょい	副詞-助詞類接続		
辛	カノト	辛	名詞-一般		
の	ノ	の	助詞-連体化		
柿	カキ	柿	名詞-一般		
の	ノ	の	助詞-連体化		
種	タネ	種	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
コク	コク	コク	名詞-一般		
甘	アマ	甘い	形容詞-自立	形容詞・アウオ段	ガル接続
の	ノ	の	助詞-連体化		
チョコ	チョコ	チョコ	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
コーティング	コーティング	コーティング	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
、	、	、	記号-読点		
小	ショウ	小	接頭詞-名詞接続		
包装	ホウソウ	包装	名詞-サ変接続		
パッケージ	パッケージ	パッケージ	名詞-一般		
で	デ	で	助詞-格助詞-一般		
発売	ハツバイ	発売	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
「	「	「	記号-括弧開		
チョコ	チョコ	チョコ	名詞-一般		
」	」	」	記号-括弧閉		
「	「	「	記号-括弧開		
米	ベイ	米	名詞-固有名詞-地域-国		
菓	菓	菓	未知語		
」	」	」	記号-括弧閉		
の	ノ	の	助詞-連体化		
カテゴリー	カテゴリー	カテゴリー	名詞-一般		
トップ	トップ	トップ	名詞-一般		
※	※	※	記号-一般		
2	2	2	未知語		
同士	ドウシ	同士	名詞-一般		
による	ニヨル	による	助詞-格助詞-連語		
、	、	、	記号-読点		
新た	アラタ	新た	名詞-形容動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
価値	カチ	価値	名詞-一般		
の	ノ	の	助詞-連体化		
商品	ショウヒン	商品	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
ご	ゴ	ご	接頭詞-名詞接続		
提案	テイアン	提案	名詞-サ変接続		
する	スル	する	動詞-自立	サ変・スル	基本形
こと	コト	こと	名詞-非自立-一般		
で	デ	だ	助動詞	特殊・ダ	連用形
、	、	、	記号-読点		
菓子	カシ	菓子	名詞-一般		
市場	シジョウ	市場	名詞-一般		
の	ノ	の	助詞-連体化		
活性	カッセイ	活性	名詞-一般		
化	カ	化	名詞-接尾-サ変接続		
と	ト	と	助詞-並立助詞		
新た	アラタ	新た	名詞-形容動詞語幹		
な	ナ	だ	助動詞	特殊・ダ	体言接続
需要	ジュヨウ	需要	名詞-一般		
の	ノ	の	助詞-連体化		
創造	ソウゾウ	創造	名詞-サ変接続		
を	ヲ	を	助詞-格助詞-一般		
図っ	ハカッ	図る	動詞-自立	五段・ラ行	連用タ接続
て	テ	て	助詞-接続助詞		
参り	マイリ	参る	動詞-非自立	五段・ラ行	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
※	※	※	記号-一般		
1	1	1	未知語		
：	：	：	記号-一般		
「	「	「	記号-括弧開		
亀田	カメダ	亀田	名詞-固有名詞-人名-姓		
の	ノ	の	助詞-連体化		
柿	カキ	柿	名詞-一般		
の	ノ	の	助詞-連体化		
種	タネ	種	名詞-一般		
チョコ	チョコ	チョコ	名詞-一般		
」	」	」	記号-括弧閉		
は	ハ	は	助詞-係助詞		
期間	キカン	期間	名詞-一般		
・	・	・	記号-一般		
数量	スウリョウ	数量	名詞-一般		
限定	ゲンテイ	限定	名詞-サ変接続		
と	ト	と	助詞-格助詞-一般		
なり	ナリ	なる	動詞-自立	五段・ラ行	連用形
ます	マス	ます	助動詞	特殊・マス	基本形
。	。	。	記号-句点		
※	※	※	記号-一般		
2	2	2	未知語		
：	：	：	記号-一般		
（株）	カブシキガイシャ	（株）	名詞-一般		
インテージ	インテージ	インテージ	未知語		
SRI	SRI	SRI	未知語		
データ	データ	データ	名詞-一般		
（	（	（	記号-括弧開		
2009	2009	2009	未知語		
年	トシ	年	名詞-一般		
4	4	4	未知語		
月	ツキ	月	名詞-一般		
〜	〜	〜	記号-一般		
2010	2010	2010	未知語		
年	トシ	年	名詞-一般		
3	3	3	未知語		
月	ツキ	月	名詞-一般		
）	）	）	記号-括弧閉		
「	「	「	記号-括弧開		
チョコ	チョコ	チョコ	名詞-一般		
」	」	」	記号-括弧閉		
「	「	「	記号-括弧開		
せんべい	センベイ	せんべい	名詞-一般		
/	/	/	未知語		
あら	アラ	ある	動詞-自立	五段・ラ行	未然形
れ	レ	れる	動詞-接尾	一段	連用形
」	」	」	記号-括弧閉		
商品	ショウヒン	商品	名詞-一般		
概要	ガイヨウ	概要	名詞-一般		
商品	ショウヒン	商品	名詞-一般		
名	メイ	名	名詞-接尾-一般		
「	「	「	記号-括弧開		
明治	メイジ	明治	名詞-固有名詞-一般		
アーモンド	アーモンド	アーモンド	名詞-一般		
